         838171 function calls (837880 primitive calls) in 155.895 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    39496    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
    35193    0.017    0.000    0.017    0.000 {method '__exit__' of '_thread.lock' objects}
33868/33865    0.018    0.000    0.018    0.000 {built-in method builtins.len}
    21118    0.024    0.000    0.097    0.000 synchronize.py:94(__enter__)
    21118    0.028    0.000    0.069    0.000 synchronize.py:97(__exit__)
    21118    0.072    0.000    0.072    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
    21118    0.041    0.000    0.041    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
    16948    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    15093    0.011    0.000    0.011    0.000 {built-in method _expired}
    15093    0.021    0.000    0.033    0.000 storage.py:925(_expired)
    15093    0.022    0.000    0.055    0.000 reductions.py:34(expired)
    14086    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    14085    0.012    0.000    0.012    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    14083    0.015    0.000    0.093    0.000 synchronize.py:229(__enter__)
    14083    0.025    0.000    0.070    0.000 synchronize.py:232(__exit__)
    14082    0.009    0.000    0.009    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
    14073    0.029    0.000    0.029    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
    14070    0.084    0.000    0.765    0.000 _utils.py:145(_rebuild_tensor)
    14070    2.501    0.000    2.501    0.000 {built-in method _new_shared_filename_cpu}
    14070    0.012    0.000    0.012    0.000 {method '_weak_ref' of 'torch._C.StorageBase' objects}
    14070    0.011    0.000    0.011    0.000 {method '_shared_decref' of 'torch._C.StorageBase' objects}
    14070    0.044    0.000    0.060    0.000 storage.py:355(__new__)
    14070    0.266    0.000    0.266    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
    14070    0.414    0.000    0.414    0.000 {built-in method torch.tensor}
    14070    0.059    0.000    0.080    0.000 storage.py:427(__init__)
    14070    0.140    0.000    3.063    0.000 reductions.py:319(rebuild_storage_filename)
    14070    0.089    0.000    0.854    0.000 reductions.py:98(rebuild_tensor)
    14070    0.078    0.000    0.232    0.000 reductions.py:69(__setitem__)
    14070    0.087    0.000    0.227    0.000 reductions.py:339(rebuild_typed_storage)
    14070    0.027    0.000    0.115    0.000 reductions.py:299(storage_from_cache)
    14070    0.066    0.000    0.088    0.000 reductions.py:65(get)
